Sserial,Rsex,RAgeCat,Married,ChildHh,HEdQual3,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
293837,2,1,4,2,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,2.18760853523122
293838,2,6,3,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,3,5,4,2,2.4,3.5,.446727761589633
293839,2,7,1,2,4,-1,5,1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,3,2,4.75,5,.426964918821323
293840,1,7,1,2,4,5,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,9,2,1,1.8,4.83333333333333,1.02551314366111
293841,2,6,2,2,3,5,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,1,5,4,6,1.2,4.33333333333333,.52934372567322
293842,1,7,1,2,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,8,5,2,3,2,3.83333333333333,.987427006789792
293843,2,3,4,2,1,4,2,3,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,4,2,3.5,.58759801362874
293844,2,1,4,2,3,-1,5,3,2,2,4,2,2,2,2,1,-1,-1,-1,-1,2,2.2,3.33333333333333,1.83514350973417
293845,1,3,1,1,4,-1,5,3,9,9,9,9,9,9,9,3,-1,-1,-1,-1,8,1,5,1.93439762005832
293846,1,3,1,1,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,1,5,2.2,4,2.50676353124339
293847,2,4,1,2,3,-1,4,3,3,3,2,4,2,2,2,4,-1,-1,-1,-1,2,1,4.66666666666667,1.11635838317491
293848,2,4,2,1,2,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,.432028022875115
293849,1,4,2,2,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,2,5,3,3,.883037675697378
293850,2,4,4,2,1,4,2,3,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,4,2,1,2.8,.412256939301986
293851,2,2,1,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,2,2,2.2,1.83333333333333,.875422862530724
293852,2,7,1,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,6,1.6,3.33333333333333,1.03567099955434
293853,2,3,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,5,3.2,2.83333333333333,.432651654484877
293854,2,7,2,2,4,-1,5,2,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,5,3.2,4.33333333333333,.464205038420436
293855,1,7,3,2,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,5,1,2,4.5,.367563882251538
293856,2,4,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,1,5,2,2,1.8,4.16666666666667,.75859711235721
293857,1,5,1,2,3,-1,5,3,2,2,3,5,3,3,3,1,-1,-1,-1,-1,2,2.2,4,1.40155878722196
293858,2,7,2,2,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,8,1,3,2.4,3.83333333333333,.600433434682138
293859,2,7,1,2,4,3,2,2,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,8,3,4,1.37324570321697
293860,1,1,4,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,4,3,2,3,2.83333333333333,3.23216343189436
293861,1,6,2,2,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,2,1.4,3,.442682687100184
293862,2,7,1,2,3,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,1,2.4,4,1.5183706866531
293863,1,1,4,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,2.77494439067473
293864,2,2,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,1,1,1.2,4.33333333333333,.842094571731871
293865,2,7,1,2,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,.982490106986328
293866,1,2,2,2,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,2,5,2.2,3.66666666666667,1.35055122315118
293867,2,3,4,1,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,9,9,9,2,1.4,4.16666666666667,.550677234888673
293868,1,3,1,1,1,-1,1,3,3,2,4,4,2,3,4,2,-1,-1,-1,-1,1,3.8,4,1.11900008342396
293869,2,7,1,2,3,-1,2,3,4,2,2,5,2,1,1,1,-1,-1,-1,-1,2,1.8,4.5,1.05860256718788
293870,1,4,1,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,1.4584067218668
293871,1,3,1,2,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,4,1,3,5,1,3,1,2.66666666666667,1.01359485067455
293872,1,7,1,1,2,2,3,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,3,4,3.8,3.16666666666667,1.45027703250046
293873,1,2,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,2,2.6,3.83333333333333,1.89741830452158
293874,2,4,1,1,3,-1,8,3,4,2,2,2,2,4,2,3,-1,-1,-1,-1,2,2.8,3.83333333333333,1.09108828405551
293875,1,2,1,2,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,2,1.6,3.16666666666667,1.45505097329032
293876,1,7,4,2,3,-1,1,3,3,3,3,4,2,8,8,3,-1,-1,-1,-1,2,1.2,3.83333333333333,.455791099321675
293877,2,7,3,2,4,1,4,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,.626511326119929
293878,2,4,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,5,3,1,3.4,2.8,1.37089107701372
293879,2,4,1,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,2,2.6,3,1.55354367967625
293880,1,4,1,1,1,-1,1,3,3,3,3,4,2,5,2,1,-1,-1,-1,-1,2,3.8,3,.845568941470678
293881,2,2,1,2,1,-1,1,3,4,1,4,2,3,5,8,2,-1,-1,-1,-1,2,2.4,2,1.62725021176287
293882,2,7,2,1,4,1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,8,-1,-1,1.15872935165992
293883,1,5,1,2,2,-1,1,3,5,1,4,4,1,5,2,1,-1,-1,-1,-1,1,3.2,3.16666666666667,1.01646435307748
293884,2,7,3,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,3,-1,-1,.566670044864526
293885,1,2,1,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,3.4,3,1.61320695180972
293886,2,5,2,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,3,2.4,2.16666666666667,.50100808585034
293887,2,3,1,1,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,4,5,3,3.16666666666667,.842008604275026
293888,1,5,4,2,4,-1,3,2,-1,-1,-1,-1,-1,-1,-1,3,2,5,9,9,2,2,3,.632975792574439
293889,1,7,1,1,2,-1,3,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1.22683291025403
293890,1,4,1,1,3,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.07028516541877
293891,2,5,2,2,3,3,5,1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,-1,-1,.512701787888659
293892,1,2,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,3,3,2.2,2.83333333333333,1.49900100378419
293893,1,5,1,2,3,-1,2,3,2,3,2,5,4,3,4,2,-1,-1,-1,-1,2,2.8,3.66666666666667,1.21731497413408
293894,2,3,1,2,2,-1,4,1,-1,-1,-1,-1,-1,-1,-1,4,2,3,5,2,5,2.2,4.16666666666667,.509005264622757
293895,1,6,1,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,2.2,3.33333333333333,.649920628297634
293896,2,4,2,1,4,1,5,2,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,2,1.2,3.16666666666667,.897593800010541
293897,2,7,2,2,4,1,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,3,1,1.8,4.66666666666667,.521958803878562
293898,2,7,3,2,3,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,.685871042597944
293899,2,3,4,1,2,-1,2,3,2,2,4,3,4,2,2,2,-1,-1,-1,-1,3,2,3.5,.431529434838947
293900,2,3,4,1,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,1.8,4.16666666666667,.663172229339009
293901,2,5,2,2,4,-1,5,1,3,3,3,3,3,4,2,5,-1,-1,-1,-1,2,3,3.33333333333333,.737876014876413
293902,2,3,1,2,2,1,5,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,5,-1,-1,1.41491152189619
293903,2,2,1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,1.10660057386304
293904,1,3,1,1,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,2,2.2,3,1.28326540000616
293905,1,3,1,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,5,1,6,1.8,3.33333333333333,1.30103412276514
293906,2,5,2,2,2,-1,5,3,3,2,3,4,3,3,3,4,-1,-1,-1,-1,1,2.4,4.5,.708459436810148
293907,2,6,1,2,3,-1,5,3,3,2,1,4,5,4,5,2,-1,-1,-1,-1,4,4.2,4.33333333333333,.872799887866327
293908,1,4,1,1,2,3,5,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,-1,-1,1.30222420331085
293909,2,3,1,1,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,6,2,2.83333333333333,.865274601565172
293910,1,3,4,2,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,2,2.6,3.66666666666667,.575644784272456
293911,1,3,1,1,2,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,6,2,2.66666666666667,1.08889197415893
293912,1,7,1,2,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,-1,-1,.918065506750193
293913,2,1,4,2,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,2.8,2.5,2.86437994960454
293914,1,1,1,1,3,-1,2,3,2,3,1,3,2,2,3,3,-1,-1,-1,-1,4,1,3.5,2.21777127368125
293915,1,5,1,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,1,3.2,4,.85918189986891
293916,1,4,2,2,3,1,3,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,2,3.83333333333333,.460531380486215
293917,2,4,2,2,3,2,5,2,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,2.2,3.66666666666667,.341668487885728
293918,2,3,4,1,2,1,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,4,2.4,4.33333333333333,1.03986785187151
293919,2,2,4,2,3,-1,5,2,2,3,3,3,3,2,4,3,-1,-1,-1,-1,2,2.6,3.66666666666667,1.58334212038836
293920,2,7,1,2,4,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,1,3.2,4.16666666666667,1.20126428507837
293921,2,5,1,1,4,-1,4,8,9,9,9,9,9,9,9,4,-1,-1,-1,-1,2,9,9,2.38754887621372
293922,1,6,1,2,3,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,1,2,1.2,2.83333333333333,.680870692466295
293923,1,2,1,2,1,4,3,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,6,1.2,2,1.20348133239928
293924,1,7,3,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,5,1,4,3.83333333333333,.702353193885309
293925,1,3,1,1,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,2,2,2,4.16666666666667,1.11417043015082
