Sserial	WtFactor	RSex	RAgeCat	eq_inc_quintiles	RClassGp	HEdQual3	Married	ChildHh	skipmeal	paptype	SMNews	PartyId2	Politics	SocTrust	Spend1	Dole	TaxSpend	MuchPov	Poverty1	Poverty2	NatFrEst	incdiffs	welfare2	leftrigh	libauth
310087	1.43610958219728	1	2	3	5	3	1	2	1	0	8	5	4	-1	-1	2	2	2	1	1	55	1	3.25	2.4	3.33333333333333
310088	.517276827158858	1	6	3	5	4	4	2	9	0	4	1	2	-1	-1	2	3	2	2	2	15	1	4	9	9
310089	.451274868637821	2	7	-1	1	4	4	2	1	1	8	1	1	-1	-1	2	3	8	2	2	25	3	3.375	2.4	4
310090	.502646190760143	2	4	3	5	3	4	2	2	0	6	2	4	-1	-1	1	3	1	2	2	50	2	2.875	2.6	3.66666666666667
310091	.554234358964972	1	7	3	5	4	3	2	1	4	8	1	1	-1	-1	2	3	1	2	2	60	1	2.75	2.2	4
310092	1.60962785817132	2	5	2	5	3	2	1	-1	0	8	2	4	-1	-1	1	3	2	2	1	998	-1	-1	-1	-1
310093	.82249685101511	1	7	-1	3	4	1	2	-1	4	8	1	4	2	2	2	2	8	1	2	998	-1	-1	-1	-1
310094	.576122741345329	2	4	1	2	3	2	1	1	2	8	1	2	-1	-1	2	2	2	1	1	60	1	3.375	2.8	3.66666666666667
310095	.417897537657792	2	7	4	5	4	3	2	-1	0	8	1	4	2	3	3	3	1	2	2	50	-1	-1	-1	-1
310096	1.04016266548478	1	1	5	1	2	4	2	1	0	1	1	3	-1	-1	1	2	2	2	2	40	2	3	3.2	2.83333333333333
310097	.792465847246742	2	3	5	1	1	1	1	-1	0	8	1	2	1	3	2	3	2	1	1	15	-1	2.75	3.2	2.66666666666667
310098	1.07220705901622	1	4	5	1	1	1	1	1	0	8	6	2	-1	-1	8	3	2	2	1	5	2	2.75	2.6	2.83333333333333
310099	.933722543674258	2	7	2	5	4	1	2	-1	1	8	1	1	1	1	1	3	2	2	1	70	-1	3	2.6	3.5
310100	1.14963344075282	2	6	5	1	2	1	2	1	0	2	2	3	-1	-1	3	3	2	2	2	2	2	2	2.2	2.33333333333333
310101	2.04312607619674	1	2	-1	8	3	4	2	6	0	1	2	3	-1	-1	1	3	2	1	1	0	1	1.625	1	2.83333333333333
310102	.759644862286859	1	5	-1	5	4	1	2	-1	0	8	2	5	2	6	1	1	1	8	8	30	-1	-1	-1	-1
310103	1.72692944394345	1	2	4	5	8	1	1	-1	0	8	2	4	2	8	3	2	1	2	1	3	-1	3.25	3.2	2.66666666666667
310104	1.55116724211178	2	4	-1	5	4	1	1	-1	0	7	2	2	-1	-1	2	2	2	1	2	80	-1	-1	-1	-1
310105	.871111907077171	1	7	3	5	4	1	2	1	1	7	1	3	-1	-1	5	3	2	1	1	35	1	2.25	3	2.83333333333333
310106	.482582751882188	1	4	5	1	1	2	2	1	1	8	2	2	-1	-1	2	1	2	2	2	5	2	3.25	2.4	2.83333333333333
310107	1.15154077155121	2	4	1	1	1	1	1	-1	2	7	3	1	-1	-1	1	3	2	2	1	5	-1	-1	-1	-1
310108	1.34828558995473	2	2	4	1	1	1	2	1	0	2	2	4	-1	-1	3	3	2	2	1	60	1	2.375	3.2	3.5
310109	1.83028971478136	2	1	3	5	3	4	2	1	0	2	8	4	-1	-1	2	2	2	2	1	15	2	2.875	3.4	2.66666666666667
310110	.388987137087922	1	7	-1	5	4	4	2	1	0	8	2	2	-1	-1	1	3	1	2	1	10	1	2.125	2	3.83333333333333
310111	1.40705770786858	2	3	-1	-1	3	1	1	-1	0	2	1	3	-1	-1	1	2	2	2	2	20	-1	-1	-1	-1
310112	.856083611366829	2	7	3	4	3	1	2	-1	0	8	2	4	2	3	3	2	8	1	2	65	-1	2.875	3	3.83333333333333
310113	.650613774358407	2	3	2	5	3	4	2	5	2	4	1	3	-1	-1	1	3	1	2	2	10	2	2.75	2.6	3.5
310114	.542180720545484	1	4	1	1	3	4	2	1	0	8	8	2	-1	-1	6	2	1	2	2	10	1	3.625	1.6	4
310115	.98763962088149	2	4	3	1	4	1	2	1	1	7	3	5	-1	-1	2	3	2	2	1	40	4	3.5	1.6	4.33333333333333
310116	.558429868662198	1	7	4	5	4	2	2	2	0	8	4	1	-1	-1	1	3	2	2	1	80	9	3.125	1	5
310117	.420770524204532	2	7	3	2	4	3	2	1	0	8	2	4	-1	-1	7	3	2	2	1	50	2	2.75	2.4	4.5
310118	.895458125616297	1	7	-1	1	2	1	2	1	0	8	1	4	-1	-1	2	3	1	1	2	50	2	3.5	1.4	5
310119	.438054581606847	2	7	-1	1	1	3	2	-1	0	8	6	2	2	1	1	2	2	2	2	25	-1	2.5	3.2	3
310120	1.2600885371581	1	2	4	1	2	4	2	1	0	1	8	3	-1	-1	2	3	2	2	1	60	3	3.625	3.6	3.5
310121	1.28560993352615	1	4	4	1	1	1	1	1	0	8	4	2	-1	-1	1	3	2	1	1	10	2	2	2.8	2.33333333333333
310122	.462066028361479	2	7	3	4	4	2	2	-1	0	8	1	3	1	8	2	2	2	1	1	50	-1	3.625	2	4.16666666666667
310123	.835795075315583	2	7	4	1	3	1	2	1	1	8	1	1	-1	-1	7	2	2	2	2	60	1	2.75	2.2	3.33333333333333
310124	.566433673946088	2	2	2	5	2	4	2	-1	0	1	4	3	2	3	3	2	2	1	2	998	-1	3	1	2.5
310125	.641505311804276	2	7	-1	3	4	3	2	-1	1	8	5	1	2	3	2	3	1	2	1	100	-1	2.75	1.8	4.5
310126	.587201082292406	1	4	3	5	4	4	2	1	0	8	2	4	-1	-1	1	3	2	1	1	25	1	1.625	1.2	4.5
310127	.520380164382384	1	7	-1	3	3	3	2	1	0	8	2	2	-1	-1	2	2	2	8	8	75	1	3.5	9	9
310128	1.17289224587435	1	3	4	2	2	1	2	1	0	2	3	3	-1	-1	2	3	1	2	2	55	3	2.875	3	3.83333333333333
310129	.374651902100449	1	7	4	1	2	2	2	1	0	8	2	4	-1	-1	3	3	2	2	2	15	1	2.75	2	3.66666666666667
310130	.610970713371447	1	4	5	1	2	2	2	-1	0	3	1	3	2	3	2	3	2	1	1	20	-1	3.5	3.6	4.16666666666667
